index,fname,label,real_int,real_str
0.0,0.png,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]","6, 3, 2, 1","Shirt, Dress, Pullover, Trouser"
1.0,1.png,"[1, 0, 0, 0, 1, 1, 1, 0, 0, 0]","5, 4, 0, 6","Sandal, Coat, T-shirt/top, Shirt"
2.0,2.png,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","1, 3, 0, 3","Trouser, Dress, T-shirt/top, Dress"
3.0,3.png,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","5, 5, 7, 6","Sandal, Sandal, Sneaker, Shirt"
4.0,4.png,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]","9, 7, 5, 6","Ankle boot, Sneaker, Sandal, Shirt"
5.0,5.png,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","0, 7, 9, 0","T-shirt/top, Sneaker, Ankle boot, T-shirt/top"
6.0,6.png,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","7, 9, 5, 3","Sneaker, Ankle boot, Sandal, Dress"
7.0,7.png,"[1, 0, 1, 0, 0, 0, 1, 0, 1, 0]","2, 8, 6, 0","Pullover, Bag, Shirt, T-shirt/top"
8.0,8.png,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0]","8, 2, 3, 1","Bag, Pullover, Dress, Trouser"
9.0,9.png,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]","1, 9, 1, 2","Trouser, Ankle boot, Trouser, Pullover"
10.0,10.png,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]","3, 9, 3, 2","Dress, Ankle boot, Dress, Pullover"
11.0,11.png,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]","5, 8, 6, 8","Sandal, Bag, Shirt, Bag"
12.0,12.png,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","4, 0, 0, 3","Coat, T-shirt/top, T-shirt/top, Dress"
13.0,13.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","7, 9, 9, 7","Sneaker, Ankle boot, Ankle boot, Sneaker"
14.0,14.png,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]","4, 1, 4, 5","Coat, Trouser, Coat, Sandal"
15.0,15.png,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","7, 0, 8, 8","Sneaker, T-shirt/top, Bag, Bag"
16.0,16.png,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]","1, 2, 6, 7","Trouser, Pullover, Shirt, Sneaker"
17.0,17.png,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","8, 1, 0, 1","Bag, Trouser, T-shirt/top, Trouser"
18.0,18.png,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]","1, 5, 6, 8","Trouser, Sandal, Shirt, Bag"
19.0,19.png,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]","8, 8, 9, 3","Bag, Bag, Ankle boot, Dress"
20.0,20.png,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","7, 8, 5, 3","Sneaker, Bag, Sandal, Dress"
21.0,21.png,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]","5, 1, 2, 5","Sandal, Trouser, Pullover, Sandal"
22.0,22.png,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]","1, 5, 8, 0","Trouser, Sandal, Bag, T-shirt/top"
23.0,23.png,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]","8, 3, 7, 0","Bag, Dress, Sneaker, T-shirt/top"
24.0,24.png,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]","3, 6, 2, 9","Dress, Shirt, Pullover, Ankle boot"
25.0,25.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","6, 9, 6, 9","Shirt, Ankle boot, Shirt, Ankle boot"
26.0,26.png,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","5, 3, 7, 5","Sandal, Dress, Sneaker, Sandal"
27.0,27.png,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]","9, 6, 0, 7","Ankle boot, Shirt, T-shirt/top, Sneaker"
28.0,28.png,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","9, 6, 3, 8","Ankle boot, Shirt, Dress, Bag"
29.0,29.png,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","4, 6, 5, 6","Coat, Shirt, Sandal, Shirt"
